PositionX,PositionY,PositionZ
0.4808025,1.271632,0.3815422
0.4858532,1.267355,0.3820152
0.4917698,1.271039,0.3844376
0.4985981,1.276301,0.3852921
0.5026226,1.271105,0.3840294
0.505476,1.272015,0.3822403
0.507,1.26761,0.3801422
0.5094471,1.269719,0.3758011
0.5117702,1.276631,0.3688507
0.5130768,1.275136,0.3594666
0.5138073,1.274863,0.3496017
0.5152931,1.283358,0.3412247
0.5167732,1.290721,0.3339386
0.5173855,1.290507,0.326725
0.5171776,1.286228,0.3170013
0.5178089,1.285383,0.308506
0.5193977,1.287461,0.3021049
0.5210705,1.28918,0.2976761
0.5231857,1.290692,0.2939415
0.526432,1.292966,0.2882042
0.5296917,1.293431,0.2820244
0.5319366,1.290056,0.2746582
0.5330715,1.287605,0.2671127
0.5355072,1.287969,0.261097
0.5383396,1.292301,0.2559319
0.5386047,1.296914,0.2512589
0.5361576,1.298771,0.2451363
0.5319996,1.300324,0.2390747
0.5264568,1.307425,0.2327499
0.516037,1.310575,0.2248344
0.5011196,1.302427,0.218132
0.4964638,1.300071,0.2125626
0.4958591,1.303021,0.2075958
0.4959812,1.319156,0.202076
0.4960804,1.394856,0.1925049
0.4968109,1.402496,0.1881142
0.4996414,1.393663,0.1828041
0.4987946,1.305845,0.1722069
