PositionX,PositionY,PositionZ
1.253651,1.33134,1.138878
1.262236,1.326138,1.141064
1.271122,1.320558,1.142521
1.287495,1.317084,1.145939
1.295683,1.324369,1.150063
1.303614,1.332113,1.152401
1.311085,1.336442,1.154449
1.317728,1.339501,1.157127
1.323771,1.340187,1.159035
1.329359,1.338464,1.161404
1.335903,1.337852,1.162891
1.342655,1.336386,1.158752
1.353195,1.347047,1.150112
1.356815,1.348568,1.145908
1.360518,1.350348,1.141094
1.363804,1.351949,1.136341
1.366486,1.354264,1.131844
1.366426,1.363689,1.135071
1.368492,1.362196,1.127312
1.370081,1.368663,1.120785
1.372353,1.366383,1.113686
1.377707,1.338788,1.104454
1.38133,1.356659,1.109913
1.385122,1.372927,1.11594
1.39024,1.367029,1.116432
1.395159,1.330292,1.104542
1.40267,1.34356,1.104301
1.406399,1.32912,1.093952
1.408251,1.323334,1.085564
1.409914,1.322108,1.078983
1.40818,1.316297,1.072552
1.405455,1.321881,1.06535
1.401394,1.331307,1.059711
1.397062,1.339245,1.056675
1.393457,1.346958,1.069477
1.393654,1.349298,1.070099
1.396204,1.351574,1.069565
1.399515,1.355456,1.067463
1.401712,1.359832,1.066345
1.403385,1.363462,1.063313
1.401945,1.358788,1.053448
1.396585,1.363955,1.048283
1.39036,1.367695,1.042873
1.383816,1.369815,1.037579
1.380175,1.370719,1.034081
1.37789,1.371825,1.030483
1.376665,1.373904,1.026016
1.376333,1.381948,1.02235
1.377094,1.382306,1.011723
1.379047,1.378175,0.9899788
1.381538,1.374546,0.9792633
1.385889,1.36902,0.9734459
1.384756,1.375139,0.9712639
1.394299,1.384171,0.9699402
1.397709,1.387061,0.9680252
1.401602,1.38846,0.9635468
1.404118,1.388699,0.9593697
1.404509,1.387424,0.952877
1.401493,1.368829,0.9411163
1.39908,1.360922,0.934864
1.393667,1.348221,0.9325943
1.388058,1.369257,0.9399643
1.384626,1.419186,0.9525032
1.380682,1.409601,0.9455261
1.378519,1.406242,0.9361458
1.380793,1.409133,0.9300385
1.38508,1.413372,0.921917
1.390491,1.417281,0.9138832
1.398714,1.421215,0.9045715
1.406639,1.42306,0.8953056
1.414276,1.423616,0.8837967
1.419863,1.424431,0.8734665
1.42363,1.427024,0.8626823
1.424646,1.429928,0.8526459
1.421104,1.396124,0.8278236
1.419777,1.397066,0.8175087
1.419193,1.398668,0.8084717
1.418245,1.400168,0.8005676
1.417683,1.400752,0.7927399
1.417149,1.396296,0.7857895
1.415901,1.342911,0.7965927
1.414446,1.345491,0.7898216
1.413712,1.350818,0.7886086
1.412165,1.346014,0.7890015
1.41029,1.346013,0.7853165
1.408278,1.349016,0.7801819
1.406933,1.353299,0.7767143
1.405531,1.361834,0.7695503
1.40033,1.366956,0.7619476
1.397457,1.384149,0.7533569
1.396524,1.360961,0.7425919
1.398846,1.357851,0.7367477
1.401615,1.394067,0.7355156
1.400366,1.396332,0.7308998
1.396847,1.391342,0.7145844
1.39406,1.372057,0.7024155
1.378843,1.309059,0.8986244
1.363935,1.297759,0.8922119
1.328335,1.274018,0.8759079
1.320936,1.271557,0.8651924
1.305492,1.260571,0.8504562
1.287735,1.243446,0.8335228
1.271441,1.227061,0.8163986
1.25779,1.224609,0.7920189
1.249937,1.232553,0.7740021
1.242636,1.23285,0.7597313
1.227991,1.23713,0.7327309
1.221266,1.237921,0.7178345
1.216063,1.238793,0.7032013
1.209179,1.238975,0.6858902
1.202717,1.242544,0.6687431
1.194654,1.246948,0.650383
1.185921,1.248469,0.6321983
1.176609,1.248984,0.6157417
1.164562,1.245696,0.6003571
1.153257,1.24445,0.585907
1.138441,1.237389,0.5736618
1.126268,1.23236,0.5639114
1.113649,1.220755,0.5576744
1.100555,1.210083,0.5495262
1.0979,1.230591,0.5330772
1.084526,1.228136,0.5199623
1.070631,1.214752,0.5127525
1.060427,1.199759,0.5106277
1.062731,1.213866,0.5026703
1.043617,1.204848,0.4872971
1.037882,1.20302,0.479866
1.03116,1.200485,0.4726677
1.021856,1.18708,0.4697647
1.011,1.175422,0.4647636
0.9981003,1.17084,0.4566078
0.9751835,1.164715,0.4429588
0.9515324,1.153424,0.4313698
0.9297962,1.145477,0.4210968
0.9104023,1.142852,0.4134293
0.8978462,1.143379,0.4033279
0.8831673,1.131774,0.3982964
0.8741074,1.123315,0.391674
0.8747692,1.121651,0.3809357
0.7453194,1.300041,1.322433
0.7407074,1.30169,1.346355
0.7373371,1.304106,1.367683
0.7336845,1.308285,1.389141
0.7306843,1.310898,1.409218
0.729002,1.307161,1.429638
0.7255402,1.295601,1.46909
0.7251358,1.291174,1.48727
0.7268372,1.285316,1.50536
0.7289505,1.280487,1.521641
0.7308369,1.275271,1.535946
0.7334538,1.271423,1.54908
0.7367134,1.269068,1.557434
0.7410297,1.263617,1.56382
0.7493382,1.262377,1.576389
0.7512703,1.262102,1.579376
0.7535191,1.262342,1.581985
0.7556973,1.262548,1.584064
0.7578259,1.263129,1.585606
0.7597332,1.263244,1.58638
0.7617397,1.262203,1.586494
0.763382,1.261367,1.586269
0.7655964,1.261079,1.586094
0.7673264,1.259782,1.585682
0.76894,1.258682,1.585182
0.7710533,1.258286,1.584766
0.7737331,1.257655,1.584
0.7769489,1.25924,1.581486
0.7809753,1.262927,1.576847
0.7863789,1.267226,1.569569
0.7943897,1.275477,1.55645
0.8078327,1.287035,1.535973
0.8242912,1.292319,1.517124
0.8462334,1.295679,1.495754
0.8772469,1.298808,1.476944
0.9086056,1.294283,1.465778
0.9385738,1.290538,1.464325
0.9687862,1.285331,1.474125
0.9995422,1.273328,1.490707
1.030821,1.263852,1.509579
1.053087,1.261374,1.529217
1.073578,1.253491,1.556496
1.086618,1.237041,1.574314
1.096155,1.209682,1.585236
1.189129,1.196974,0.8580322
1.171494,1.190703,0.8627586
1.160076,1.193169,0.8683128
1.150576,1.199284,0.8741875
1.12311,1.196207,0.8776665
1.111996,1.19822,0.8801727
1.102667,1.203783,0.8821526
1.095337,1.211689,0.8839798
1.085903,1.217785,0.8855782
1.071665,1.218838,0.8853455
1.0665,1.220317,0.8854256
1.060564,1.226782,0.8874588
1.054375,1.230785,0.8874893
1.044127,1.228175,0.8791847
1.036175,1.226226,0.8744736
1.033306,1.223245,0.8700027
1.035334,1.221334,0.8678551
1.040239,1.221659,0.8679466
1.044554,1.222789,0.866436
1.045578,1.224771,0.8645287
1.046524,1.227842,0.8638878
1.047592,1.230232,0.8646698
1.048874,1.230808,0.8658295
1.053545,1.231103,0.8683853
1.060921,1.229798,0.8712921
1.068792,1.227649,0.8740311
1.074459,1.226732,0.8750229
1.078335,1.224194,0.8794556
1.085428,1.222196,0.8826714
1.096226,1.219751,0.8894615
1.112516,1.216738,0.9021225
1.127855,1.221771,0.9118385
1.146971,1.227821,0.9201164
1.164883,1.233141,0.9276505
1.182966,1.234586,0.9341125
1.201687,1.232468,0.9406509
1.215424,1.229558,0.9466896
1.226814,1.228672,0.9517937
1.239161,1.226812,0.9575958
1.252319,1.223419,0.9638367
1.277924,1.218307,0.978569
1.289095,1.216391,0.9861908
1.299295,1.215133,0.9926262
1.309521,1.214838,0.9986076
1.321144,1.213279,1.005436
1.329159,1.209399,1.010464
1.333782,1.207088,1.014507
1.341608,1.206268,1.019264
1.346542,1.206021,1.022205
1.351236,1.205288,1.023968
1.35503,1.205321,1.025429
1.357943,1.206066,1.025826
1.361135,1.207036,1.02375
1.364086,1.207957,1.022415
1.365879,1.207525,1.021133
1.367155,1.207132,1.019543
1.368893,1.208122,1.017014
1.369789,1.208522,1.013397
1.370316,1.208391,1.00679
1.371729,1.205288,0.9936295
1.372541,1.204616,0.9878998
1.372946,1.203486,0.9816284
1.372831,1.202747,0.9746399
1.37381,1.203148,0.9673653
1.374594,1.203122,0.9603462
1.374954,1.202607,0.9524765
1.375166,1.200529,0.9452019
1.37546,1.198936,0.9374924
1.375195,1.198682,0.9309387
1.375715,1.197685,0.9233589
1.375893,1.196268,0.9165497
1.37571,1.195418,0.9084358
1.37586,1.193913,0.9008713
1.375734,1.1912,0.8942337
1.3757,1.188622,0.8875046
1.375532,1.186305,0.8799477
1.375931,1.185581,0.8726349
1.376549,1.185143,0.8659859
1.376829,1.182707,0.8586121
1.377121,1.180098,0.8515511
1.377518,1.178194,0.8448677
1.377714,1.177087,0.8373528
1.378723,1.175921,0.8303566
1.379242,1.174448,0.8245811
1.379019,1.17074,0.8193512
1.378296,1.167072,0.8150177
1.377977,1.163334,0.8100357
1.37719,1.160138,0.8034096
1.375937,1.156815,0.7987022
1.375072,1.154454,0.7935715
1.374529,1.152848,0.789135
1.374128,1.150832,0.7845917
1.373764,1.148329,0.7808952
1.373161,1.145599,0.7766762
1.372864,1.142686,0.771637
1.373083,1.139907,0.7669868
1.374121,1.139049,0.7636032
1.375004,1.138684,0.7609634
1.375555,1.137397,0.7593307
1.375704,1.135846,0.7573433
1.376238,1.135559,0.7553406
1.376478,1.135178,0.7531624
1.377111,1.135148,0.7516403
1.377867,1.134719,0.7505226
1.378126,1.134118,0.7500038
1.37845,1.135076,0.7498779
1.380257,1.134319,0.7505455
1.381504,1.133517,0.7509766
1.382898,1.13176,0.7513618
1.383621,1.128393,0.7513733
1.385105,1.124958,0.7514572
1.387821,1.123178,0.753315
1.392265,1.120693,0.7565422
1.397154,1.117353,0.7602654
1.399536,1.116114,0.7612572
1.402515,1.115335,0.7618446
1.407267,1.115911,0.7621689
1.411203,1.114868,0.7615776
1.411497,1.110937,0.7611351
1.410814,1.105887,0.7596703
1.408463,1.099544,0.7564011
1.409519,1.10203,0.7566338
1.411873,1.107597,0.7587814
1.415218,1.116493,0.7616119
1.418867,1.127094,0.7630424
1.417957,1.130144,0.7597427
1.416065,1.13057,0.7555771
1.417082,1.126846,0.7537994
1.421392,1.129293,0.7538376
1.423412,1.123627,0.7536087
1.421078,1.111838,0.7510452
1.420691,1.104588,0.7485695
1.421946,1.103868,0.7466278
1.420658,1.101988,0.7452736
1.419561,1.099409,0.7456131
1.420084,1.097599,0.748127
1.420063,1.098584,0.7519493
1.424356,1.110099,0.7562103
1.427319,1.124832,0.7588615
1.429186,1.134742,0.7574463
1.430243,1.143006,0.7530403
1.429258,1.145061,0.7469025
1.430824,1.148143,0.744606
1.432526,1.150993,0.7424889
1.435726,1.153024,0.7407875
1.439959,1.151792,0.740345
1.435406,1.134696,0.7395058
1.43375,1.125472,0.7380333
1.437525,1.128016,0.7389526
1.440365,1.12923,0.7403564
1.443354,1.130139,0.7423592
1.443108,1.12649,0.7434807
1.445635,1.129446,0.7440262
1.448286,1.132955,0.7488441
1.447348,1.133934,0.7497368
1.446157,1.136159,0.7518578
1.444809,1.138077,0.7550392
1.441843,1.143172,0.7580605
1.435972,1.142313,0.7576103
1.431873,1.147411,0.7579727
1.427553,1.15417,0.7620544
1.420128,1.155174,0.761467
1.407578,1.147335,0.7520905
1.401125,1.151412,0.748642
1.395567,1.157355,0.7449799
1.391455,1.164869,0.7416916
1.38825,1.172353,0.741642
1.38512,1.178938,0.7419548
1.380085,1.181991,0.7424393
1.377172,1.189615,0.7452354
1.374077,1.191961,0.7470207
1.369907,1.192152,0.7485237
1.366985,1.194394,0.7522736
1.363869,1.196106,0.7559929
1.360209,1.197495,0.7602654
1.35523,1.196982,0.7631683
1.349648,1.198189,0.766468
1.343725,1.199253,0.7695541
1.336256,1.199788,0.7712402
1.329422,1.201897,0.7716599
1.322498,1.206119,0.7714653
1.31617,1.20708,0.7702103
1.309704,1.208207,0.7694626
1.304911,1.210837,0.768734
1.301188,1.21372,0.7692719
1.300024,1.219187,0.7715187
1.297602,1.220406,0.7734108
1.29487,1.220339,0.7749405
1.292343,1.220342,0.7771187
1.289953,1.219588,0.7793503
1.287546,1.217139,0.7816925
1.285038,1.214453,0.784214
1.283421,1.212559,0.7867126
1.28311,1.212778,0.7895546
1.282068,1.212659,0.7901535
1.281937,1.213601,0.7895737
1.281139,1.214702,0.7882347
1.281279,1.217572,0.786705
1.281393,1.220255,0.7852859
1.280088,1.220337,0.7826385
1.278675,1.220651,0.7799988
1.277758,1.221398,0.7777863
1.276785,1.2207,0.7765999
1.275959,1.219719,0.7757263
1.275917,1.219863,0.7753906
1.275854,1.218319,0.7756958
1.275681,1.217129,0.7759171
1.276186,1.218063,0.7763939
1.276251,1.218557,0.7762375
1.275135,1.218931,0.7754593
1.27511,1.219697,0.7751617
1.275421,1.220356,0.7749634
1.275684,1.220558,0.7737274
1.276447,1.220249,0.7712479
1.276575,1.219128,0.7683716
1.276796,1.216987,0.7649994
1.276121,1.213656,0.7613983
1.276714,1.212264,0.7593498
1.280848,1.211093,0.7582092
1.282837,1.211204,0.7585182
1.285446,1.211414,0.7591324
1.287905,1.211262,0.7596703
1.290247,1.211466,0.7609177
1.292137,1.211716,0.761467
1.293247,1.211624,0.760952
1.294695,1.211822,0.7607079
1.29604,1.211882,0.760479
1.298018,1.21139,0.7595634
1.298702,1.211984,0.7590828
1.299503,1.212783,0.7586212
1.300364,1.213624,0.7581215
1.302326,1.216174,0.7572212
1.304684,1.218078,0.7571068
1.30757,1.219884,0.7574883
1.310299,1.220567,0.7578964
1.313053,1.219691,0.7572594
1.31823,1.216503,0.7550049
