PositionX,PositionY,PositionZ
-1.863884,1.320606,-0.5881271
-1.882771,1.337695,-0.5813942
-1.899151,1.357008,-0.5756149
-1.912189,1.363926,-0.5750465
-1.923347,1.367558,-0.5751839
-1.933968,1.368419,-0.5742645
-1.944805,1.367982,-0.5725861
-1.955441,1.370953,-0.5699844
-1.965206,1.375804,-0.5665054
-1.972984,1.378226,-0.5621223
-1.981552,1.381658,-0.5580902
-1.990852,1.385035,-0.5538826
-1.997581,1.386667,-0.5491676
-2.006584,1.387435,-0.5446472
-2.018192,1.391844,-0.5392113
-2.024708,1.394702,-0.5356712
-2.032341,1.398797,-0.530571
-2.039078,1.402929,-0.5229187
-2.045929,1.40325,-0.5150146
-2.052048,1.403243,-0.5076714
-2.058559,1.402703,-0.4989433
-2.065643,1.402246,-0.4903831
-2.072205,1.403007,-0.4824905
-2.078167,1.403451,-0.4752045
-2.083275,1.404613,-0.4678535
-2.089809,1.404924,-0.4605255
-2.095135,1.406637,-0.454216
-2.099972,1.40581,-0.4469223
-2.104107,1.403673,-0.4380836
-2.106953,1.402714,-0.4290924
-2.109234,1.402589,-0.4193802
-2.112038,1.403278,-0.4099426
-2.115669,1.403882,-0.4008942
-2.120033,1.404195,-0.3923531
-2.12233,1.403655,-0.3830528
-2.126579,1.400064,-0.3732414
-2.130409,1.398298,-0.3644218
-2.135921,1.397694,-0.3568382
-2.140282,1.397488,-0.348938
-2.145267,1.397091,-0.3411446
-2.149761,1.39705,-0.3333282
-2.155174,1.396497,-0.3247681
-2.160294,1.397038,-0.3158989
-2.165375,1.39699,-0.3068619
-2.170013,1.397341,-0.2986794
-2.174435,1.396227,-0.2915955
-2.179913,1.395359,-0.283886
-2.18425,1.396238,-0.2753181
-2.188442,1.396334,-0.2674065
-2.194225,1.395802,-0.2580719
-2.199402,1.396697,-0.2480659
-2.202393,1.396173,-0.2380562
-2.206524,1.392903,-0.2268105
-2.21106,1.391281,-0.2152596
-2.214966,1.390718,-0.201767
-2.216908,1.390327,-0.1884537
-2.218727,1.387088,-0.176693
-2.223583,1.384459,-0.1651039
-2.228683,1.386518,-0.1542282
-2.233959,1.389671,-0.1451569
-2.239407,1.390641,-0.1381454
-2.244923,1.390677,-0.1292496
-2.249767,1.39088,-0.1195297
-2.254242,1.390776,-0.1107101
-2.258099,1.38925,-0.103096
-2.260799,1.385558,-0.0944519
-2.264767,1.382629,-0.08333588
-2.267433,1.381817,-0.07250595
-2.270031,1.37949,-0.06295013
-2.274784,1.377048,-0.05320358
-2.279125,1.377037,-0.04415512
-2.284962,1.377341,-0.03565598
-2.289227,1.379223,-0.02788925
-2.292843,1.378739,-0.01961899
-2.295048,1.380633,-0.01054382
-2.299652,1.381211,0.000232697
-2.304577,1.38721,0.01002502
-2.308109,1.390872,0.01739883
-2.313271,1.391752,0.02465057
-2.318008,1.392707,0.03184128
-2.31881,1.394046,0.04003143
