PositionX,PositionY,PositionZ
1.034508,0.3743925,-0.05858612
1.034128,0.36765,-0.05715179
1.033272,0.3632555,-0.05639648
1.031982,0.3604517,-0.05625916
1.029257,0.3605337,-0.05649567
1.027473,0.3643351,-0.05830765
1.02747,0.3710461,-0.06131363
1.028053,0.3790379,-0.06414413
1.029663,0.3881378,-0.06877899
1.031536,0.3977642,-0.07625198
1.033674,0.4067507,-0.08516312
1.03569,0.4175701,-0.09576035
1.037994,0.4297743,-0.1070404
1.040285,0.4419365,-0.1222382
1.040928,0.457571,-0.1419296
1.041929,0.4692907,-0.1587677
1.043716,0.4788933,-0.1762238
1.044176,0.4872313,-0.1938744
1.045584,0.4975996,-0.2104912
1.049326,0.5108147,-0.2280846
1.054142,0.5242386,-0.2458115
1.057993,0.5380926,-0.2622681
1.062506,0.5515928,-0.2770157
1.067455,0.5649452,-0.2916183
1.071686,0.5760155,-0.3025322
1.077736,0.5925608,-0.3169556
1.084358,0.6094389,-0.3294487
1.093758,0.6289082,-0.3430519
1.102482,0.6467781,-0.3558464
1.118551,0.6802845,-0.3759575
1.123392,0.6893692,-0.3797264
1.129993,0.7021637,-0.3836823
1.136854,0.7140102,-0.3870354
1.144197,0.7247534,-0.3899002
1.152607,0.7362223,-0.390625
1.161613,0.7457638,-0.3922501
1.173388,0.756959,-0.3968124
1.194677,0.7857628,-0.4017563
1.205666,0.7982655,-0.4021225
1.219954,0.8072538,-0.4021988
1.230213,0.8147507,-0.402874
1.239471,0.8219223,-0.3986702
1.247704,0.8272734,-0.3950272
1.254938,0.8316774,-0.3918152
1.262648,0.8351345,-0.3893204
1.275915,0.8430204,-0.3861008
1.28261,0.8474083,-0.3854218
1.289186,0.8525009,-0.3835258
1.293964,0.8589201,-0.380909
1.297815,0.8634777,-0.3791656
1.302923,0.8673382,-0.3779449
1.306885,0.8703327,-0.3759995
1.311333,0.8725863,-0.3731461
1.31477,0.8749228,-0.3712006
1.320747,0.8769445,-0.3693542
1.323009,0.8774033,-0.3695641
1.324711,0.8780527,-0.3697968
1.325684,0.8787222,-0.3705978
1.325909,0.8791113,-0.37183
1.325983,0.8797379,-0.3727646
1.325397,0.8805275,-0.3741684
1.323795,0.8811455,-0.3761978
1.318663,0.8820171,-0.3798332
1.315554,0.8829508,-0.3808594
1.312336,0.8837538,-0.3824501
1.309675,0.8847027,-0.3835449
1.307364,0.8857841,-0.3838997
1.305088,0.8864212,-0.3839645
1.302391,0.8873014,-0.3836975
1.297411,0.8881874,-0.3845406
1.293591,0.888484,-0.3855095
1.289335,0.888648,-0.3857117
1.285776,0.8886452,-0.3854485
1.281601,0.888341,-0.3851891
1.277466,0.8882189,-0.3844757
1.273483,0.8877687,-0.3846588
1.267435,0.8868465,-0.3841553
1.259693,0.8856335,-0.3818016
1.252382,0.8844967,-0.3832512
1.248081,0.88311,-0.3831596
1.244774,0.8821402,-0.3831978
1.241392,0.8809471,-0.382473
1.237158,0.8801203,-0.3822823
1.23254,0.8794479,-0.3799362
1.227406,0.8785353,-0.3762321
1.223553,0.8784046,-0.3771286
1.221251,0.8782911,-0.3777504
1.220074,0.8791943,-0.3786087
1.219788,0.8794518,-0.3778801
1.220175,0.8794146,-0.3750877
1.222002,0.8791609,-0.37183
1.224554,0.8790989,-0.3695297
1.22756,0.8799124,-0.3716965
1.230192,0.8806133,-0.3744278
1.232218,0.8811283,-0.3752594
1.233839,0.8818817,-0.3758011
1.235395,0.8827333,-0.3753052
1.236378,0.8841372,-0.3759727
1.235325,0.8856459,-0.3771935
1.232107,0.887495,-0.3817673
1.231482,0.8863697,-0.3918495
1.231709,0.8852358,-0.3967171
1.22937,0.8811522,-0.4058304
1.231079,0.8766899,-0.4009933
1.228817,0.8737946,-0.3905449
1.227354,0.8712587,-0.3884583
1.227472,0.8699369,-0.3922272
1.228851,0.867424,-0.392952
1.23004,0.8652353,-0.3928299
1.230705,0.8613968,-0.3895798
1.230787,0.8590469,-0.3863792
1.230936,0.8554554,-0.3846779
1.230444,0.855505,-0.3822327
1.230499,0.8541775,-0.3798561
1.230114,0.8531322,-0.3784943
1.229063,0.8525324,-0.3779564
1.226873,0.8517246,-0.3757591
1.224464,0.8506298,-0.3731117
1.218622,0.847085,-0.3655853
1.215191,0.8462019,-0.3643494
1.211618,0.8461399,-0.3638268
1.208128,0.8460026,-0.3634567
1.204748,0.8458757,-0.3616753
1.200554,0.8457441,-0.3604622
1.19352,0.8436146,-0.3577118
1.186253,0.8417282,-0.3579903
1.179361,0.8403692,-0.3578949
1.172932,0.8400307,-0.3565674
1.167213,0.8400335,-0.3547211
1.161713,0.8404064,-0.3527946
1.158432,0.8407574,-0.3506699
1.156637,0.841094,-0.3484535
1.154387,0.8413582,-0.3448372
1.152147,0.8412275,-0.3416672
1.149952,0.8411493,-0.3387871
1.148014,0.841054,-0.3355255
1.14633,0.8405151,-0.3323936
1.142925,0.8387756,-0.3276596
1.141211,0.8378601,-0.3242798
1.139816,0.8373032,-0.3212357
1.138653,0.8367405,-0.3178711
1.137144,0.8359184,-0.314846
1.13575,0.8350563,-0.3125648
1.133883,0.8337898,-0.3101807
1.132072,0.8324461,-0.3084946
1.12977,0.8293924,-0.3072433
1.128572,0.8281059,-0.3072968
1.127331,0.8269796,-0.3075294
1.125996,0.8263779,-0.3081245
1.124968,0.825717,-0.3084755
1.123974,0.8254013,-0.308651
1.123037,0.825098,-0.3079338
1.122068,0.8249512,-0.3067818
1.120691,0.8251715,-0.305275
1.119026,0.8246994,-0.3028107
1.117182,0.8243771,-0.3003883
1.115805,0.8242474,-0.2982597
1.114424,0.8240442,-0.2961655
1.113165,0.8234863,-0.2939796
1.111732,0.8233709,-0.2917442
1.110195,0.8234262,-0.289856
1.108469,0.8231802,-0.2877274
1.106506,0.8223372,-0.2849998
1.104372,0.8215399,-0.2822418
1.10149,0.8201885,-0.2785721
1.098557,0.8183641,-0.2745628
1.095505,0.8159666,-0.2698936
1.092844,0.8139582,-0.2657928
1.090563,0.8115892,-0.2622108
1.088293,0.8090343,-0.2593002
1.085978,0.8066339,-0.2569962
1.083647,0.8050508,-0.2552834
1.081583,0.8040466,-0.2541733
1.078175,0.8024702,-0.2516899
1.076653,0.8017387,-0.2503853
1.075163,0.8009539,-0.2486191
1.073898,0.799551,-0.2465286
1.072542,0.7984304,-0.2439499
1.071215,0.7974949,-0.2410393
1.069809,0.7965765,-0.2381096
1.068407,0.7958012,-0.2355232
1.06563,0.7957678,-0.2308846
1.064325,0.7967339,-0.2292099
1.063271,0.7978992,-0.2277641
