PositionX,PositionY,PositionZ
-0.7904625,1.368636,-1.09367
-0.8096924,1.369311,-1.093281
-0.8267097,1.371308,-1.091097
-0.8466148,1.37294,-1.087446
-0.8658447,1.373322,-1.083851
-0.8821907,1.374185,-1.081703
-0.8953972,1.377017,-1.082056
-0.9122467,1.377471,-1.079046
-0.9276733,1.380786,-1.074572
-0.9364967,1.383833,-1.072453
-0.9485512,1.383075,-1.069681
-0.9649506,1.384054,-1.06476
-0.9780807,1.387576,-1.06024
-0.9847107,1.390321,-1.059088
-0.9955254,1.38662,-1.05509
-1.008907,1.385773,-1.050343
-1.018734,1.385408,-1.047043
-1.028397,1.383534,-1.04377
-1.039558,1.382051,-1.038593
-1.050434,1.384816,-1.034136
-1.058514,1.38832,-1.030767
-1.067093,1.388689,-1.027355
-1.075794,1.386917,-1.022543
-1.08477,1.385284,-1.017809
-1.093632,1.384411,-1.012714
-1.100132,1.384058,-1.008167
-1.105621,1.382021,-1.002424
-1.111694,1.379476,-0.9951591
-1.117729,1.377372,-0.9881897
-1.125252,1.375464,-0.9811954
-1.131447,1.374717,-0.9749184
-1.138119,1.373818,-0.967989
-1.145699,1.374359,-0.9593735
-1.152618,1.375713,-0.9505806
-1.159107,1.376511,-0.9413643
-1.164852,1.376245,-0.9321232
-1.17104,1.374847,-0.9220238
-1.17828,1.373531,-0.9102669
-1.185356,1.371855,-0.8997631
-1.192684,1.369873,-0.8888054
-1.200188,1.368334,-0.8781757
-1.206379,1.366646,-0.8682117
-1.212227,1.363805,-0.859951
-1.219353,1.361219,-0.8522644
-1.224968,1.360588,-0.8464317
-1.229935,1.361466,-0.8397408
-1.233559,1.364447,-0.8326321
-1.235893,1.368042,-0.8276749
-1.237335,1.370128,-0.8230534
-1.238979,1.371317,-0.8175068
-1.239956,1.372873,-0.8120937
-1.242611,1.373671,-0.8068924
-1.248497,1.37545,-0.8008556
-1.250134,1.380148,-0.7973042
-1.254196,1.379865,-0.793293
-1.262753,1.382843,-0.7824001
-1.256008,1.392072,-0.7837429
-1.258358,1.386657,-0.7759285
-1.25626,1.390027,-0.7732601
-1.255417,1.385598,-0.7748318
-1.258507,1.378803,-0.7714252
-1.260605,1.375593,-0.7667274
-1.262157,1.377904,-0.7604523
-1.260921,1.380993,-0.7573814
-1.263,1.381215,-0.7516556
-1.26424,1.383948,-0.7461834
-1.265766,1.384969,-0.7408924
-1.268604,1.385062,-0.7332153
-1.270115,1.386827,-0.7258968
-1.270218,1.387443,-0.7187119
-1.270473,1.386003,-0.7096424
-1.270081,1.383638,-0.7000408
-1.270916,1.380461,-0.6888008
-1.272266,1.379339,-0.6754761
-1.273941,1.37989,-0.660305
-1.275192,1.381272,-0.6436977
-1.276581,1.381424,-0.6275806
-1.278797,1.380302,-0.6102333
-1.279854,1.378922,-0.5943527
-1.280617,1.377958,-0.579464
-1.279697,1.377648,-0.5640907
-1.276882,1.377851,-0.5513344
-1.274021,1.376925,-0.5412331
-1.270798,1.376544,-0.5326309
-1.267559,1.376886,-0.5273399
-1.264954,1.377563,-0.5237808
-1.261703,1.378644,-0.5226212
-1.258255,1.378642,-0.5201988
-1.254215,1.381603,-0.518383
-1.24992,1.382409,-0.5175056
-1.244823,1.381474,-0.5175438
-1.240063,1.380022,-0.5171318
-1.236504,1.37916,-0.5103416
-1.229729,1.383051,-0.508728
-1.222847,1.383859,-0.5085602
-1.21579,1.38382,-0.4982681
-1.207787,1.389341,-0.4963112
-1.201431,1.38915,-0.4910469
-1.19363,1.389875,-0.4855347
-1.185699,1.3904,-0.4805565
-1.177052,1.391137,-0.4761848
-1.169662,1.391275,-0.4698219
-1.162743,1.390863,-0.4648895
-1.155605,1.388304,-0.4588127
-1.147724,1.38728,-0.4518585
-1.139481,1.387554,-0.4435577
