PositionX,PositionY,PositionZ
-1.137257,1.311877,-0.635416
-1.154049,1.323489,-0.6439266
-1.169453,1.326474,-0.6514549
-1.185326,1.328557,-0.6566277
-1.199146,1.332027,-0.6599808
-1.214039,1.333811,-0.6634483
-1.228748,1.337208,-0.6670227
-1.243301,1.341335,-0.6722183
-1.259407,1.346746,-0.6783047
-1.276119,1.354678,-0.6846886
-1.294949,1.362203,-0.6907825
-1.317963,1.36771,-0.6962757
-1.340721,1.374256,-0.7025681
-1.365299,1.379162,-0.7075481
-1.39188,1.383345,-0.7123146
-1.418179,1.386201,-0.7161274
-1.444077,1.388469,-0.7202454
-1.469196,1.388621,-0.7246246
-1.49453,1.388246,-0.7281246
-1.518867,1.387681,-0.7311077
-1.543369,1.387875,-0.7332706
-1.565887,1.387186,-0.73489
-1.589458,1.386524,-0.7374802
-1.609661,1.386726,-0.7393703
-1.635433,1.38456,-0.7412186
-1.657749,1.392488,-0.7421951
-1.679585,1.393029,-0.7420158
-1.705204,1.394381,-0.7425175
-1.723644,1.398089,-0.7393436
-1.743874,1.393964,-0.7361603
-1.759262,1.390426,-0.7327614
-1.774677,1.385452,-0.7292156
-1.795872,1.379796,-0.727108
