PositionX,PositionY,PositionZ
-0.04523087,0.5915728,2.658836
-0.0425663,0.5913,2.671684
-0.03473091,0.5901709,2.68404
-0.02779961,0.5903425,2.694324
-0.02187729,0.5891161,2.702797
-0.01642799,0.5873585,2.711372
-0.009843826,0.5861654,2.721725
-0.003587723,0.5866013,2.73193
0.0026474,0.5875769,2.742535
0.009853363,0.5879488,2.754757
0.01594925,0.5886974,2.765694
0.02197075,0.5891428,2.776268
0.0281601,0.5896454,2.787209
0.03252792,0.589283,2.797134
0.03640175,0.5872545,2.80843
0.04044914,0.5858259,2.818497
0.02290535,0.5858269,2.801014
0.02437782,0.584321,2.806149
0.02626419,0.5854578,2.808903
0.02814674,0.5859308,2.811234
0.03013802,0.5871696,2.81395
0.03285789,0.5890903,2.815998
0.03568077,0.5901289,2.818226
0.03816605,0.5912647,2.820404
0.04022789,0.5930681,2.823132
0.04251289,0.5945244,2.825928
0.04461479,0.5946274,2.828381
0.0473938,0.5954494,2.831211
0.04967308,0.5958157,2.833057
0.05280113,0.5972109,2.83456
0.05500603,0.598033,2.835373
0.05810738,0.5987225,2.836308
0.06265259,0.6010904,2.834553
0.06545258,0.602087,2.834831
0.068573,0.6042099,2.834774
0.0714035,0.6064777,2.834648
0.07331276,0.6085644,2.834923
0.07445335,0.6087179,2.835262
0.0753479,0.6079149,2.836338
0.07757568,0.6150322,2.837658
0.07928848,0.615097,2.839447
0.09131813,0.6097622,2.874306
0.1793003,0.5966053,3.050518
0.1805668,0.598546,3.058083
0.1833286,0.5992603,3.067966
0.1851006,0.6022434,3.075684
0.1881638,0.6022549,3.08353
0.1918068,0.6036863,3.091042
0.1961079,0.6047516,3.098221
0.1994534,0.6051855,3.104961
0.2033863,0.6042547,3.112606
0.2052116,0.6036806,3.118385
0.2071743,0.6016703,3.124123
0.2076035,0.6013489,3.127232
0.2081413,0.6017551,3.129959
0.208252,0.6016884,3.13073
0.2079124,0.5992451,3.131752
0.2062855,0.5937996,3.131729
0.2036686,0.5887451,3.13002
0.2011871,0.5857811,3.127155
0.1998863,0.5839443,3.128181
0.2009487,0.5838852,3.131802
0.201498,0.5857172,3.134491
0.2036285,0.5864077,3.139267
0.206562,0.5890999,3.144108
0.2084904,0.5903797,3.148777
0.2118549,0.5894709,3.155659
0.2173176,0.5895023,3.164185
0.2234745,0.5900135,3.172649
0.2302971,0.5912209,3.182053
0.2383957,0.5926991,3.192062
0.245306,0.5939875,3.200272
0.252409,0.5940857,3.208454
0.2577934,0.5940857,3.215466
0.2642727,0.5935097,3.222927
0.2698765,0.5935001,3.229939
0.2753525,0.5930519,3.236366
0.281435,0.5937958,3.244396
0.2872486,0.5966234,3.251751
0.2927837,0.5982027,3.258331
0.2987347,0.5997696,3.264107
0.3047466,0.6004572,3.269257
0.310833,0.6015339,3.274429
0.3164482,0.6031036,3.279491
0.3230038,0.6051998,3.284924
0.3268414,0.6058502,3.291294
0.3142605,0.5930233,3.309612
0.3171844,0.6014318,3.312866
0.3267517,0.6010523,3.321095
0.3294926,0.6086292,3.323208
0.3379574,0.6072206,3.329628
0.3431339,0.6125355,3.332783
0.3524055,0.6138763,3.336273
0.3585148,0.6178379,3.33852
0.366724,0.6205406,3.340755
0.3749542,0.6226826,3.34462
0.3813343,0.6249504,3.348022
0.3878307,0.6256714,3.351967
0.3927174,0.6259995,3.35606
0.3970604,0.6253042,3.360569
0.4008636,0.6245489,3.365147
0.4044857,0.6237049,3.371193
0.4076138,0.6240578,3.376915
0.4110203,0.6243668,3.383793
0.4145393,0.6260691,3.389519
0.4180908,0.6258192,3.39563
0.422554,0.6265993,3.401104
0.4262886,0.6259584,3.404896
0.4320717,0.624752,3.411396
0.4374847,0.625555,3.417267
0.442049,0.6256418,3.422428
0.4463196,0.6256104,3.427059
0.4512157,0.6249456,3.432674
0.4550858,0.6246643,3.436882
0.4600124,0.6230297,3.442604
0.4641838,0.6226444,3.448036
0.4673576,0.621541,3.453133
0.4704189,0.6201019,3.460003
0.4734364,0.6199484,3.466461
0.4758015,0.6201649,3.472488
0.4789104,0.6198215,3.479733
0.4813004,0.6199369,3.486675
0.4838295,0.6192675,3.49345
0.487772,0.6184607,3.500648
0.4912739,0.6183739,3.507195
0.4951572,0.6175547,3.514595
0.5000992,0.6186342,3.522762
0.5046806,0.6183414,3.531002
0.5104084,0.6200113,3.539204
0.5163097,0.6192713,3.548298
0.5218449,0.6189384,3.557114
0.5264874,0.6189766,3.565632
