PositionX,PositionY,PositionZ
0.2823925,1.345154,1.25404
0.3130016,1.352475,1.291492
0.330843,1.350443,1.314541
0.3402443,1.349246,1.323807
0.3507042,1.347543,1.332882
0.3601227,1.343391,1.340778
0.3685398,1.340487,1.349537
0.3806725,1.341084,1.35931
0.3914738,1.340944,1.368313
0.4011936,1.340302,1.37524
0.4097767,1.339231,1.383175
0.4185696,1.338634,1.390358
0.4265041,1.338717,1.3979
0.4340019,1.338539,1.403664
0.4405918,1.336297,1.409023
0.4482059,1.333854,1.41396
0.4551544,1.331979,1.419453
0.4610043,1.330997,1.424664
