PositionX,PositionY,PositionZ
0.9333115,1.258639,0.7418137
1.289034,1.259939,0.3441811
1.286116,1.260451,0.35112
1.277866,1.253334,0.3568382
1.268478,1.246844,0.3622971
1.260551,1.241637,0.3680611
1.249784,1.235801,0.3802261
1.241827,1.236776,0.3912888
1.233629,1.238769,0.4001122
1.225647,1.239317,0.4092178
1.218409,1.239067,0.4182663
1.209467,1.239017,0.4283104
1.201782,1.237221,0.4375
1.194899,1.235776,0.4486465
1.189194,1.235107,0.4593735
1.18586,1.234666,0.4679298
1.181116,1.231548,0.478138
1.175432,1.230733,0.4884911
1.169369,1.230401,0.4978714
1.160021,1.231034,0.5092125
1.151691,1.232059,0.5204239
1.143711,1.233726,0.531456
1.134792,1.234029,0.5429153
1.125616,1.235176,0.5536003
1.114748,1.235448,0.5646286
1.103994,1.23572,0.5762558
1.09272,1.239465,0.5895386
1.080622,1.240454,0.6039963
1.069691,1.243936,0.617012
1.059353,1.245911,0.6286659
1.049198,1.243857,0.6434517
1.040154,1.242154,0.6548996
1.030663,1.23773,0.6666603
1.020632,1.233711,0.6785088
1.011772,1.231383,0.68964
1.004202,1.230293,0.6990891
0.9970016,1.227239,0.7073784
0.9893093,1.225031,0.7151375
0.9810848,1.22131,0.7244186
0.970047,1.216095,0.7381592
0.9617405,1.217761,0.7467041
0.953968,1.217428,0.7542267
0.9453926,1.216528,0.7637558
0.9392033,1.217889,0.7733879
0.9334984,1.219153,0.7830963
0.9292717,1.21978,0.7918282
0.9219017,1.216912,0.8014984
0.9153862,1.21511,0.8105927
0.9091148,1.211409,0.8203697
0.9017029,1.207929,0.8319931
0.8923893,1.206641,0.8426476
0.8823318,1.203956,0.8530235
0.8728485,1.202048,0.8611832
0.8625793,1.199768,0.8679733
0.8523083,1.196758,0.8748245
0.8432636,1.194538,0.8818893
0.8341923,1.19239,0.8889542
0.8250504,1.190521,0.8950272
0.8145103,1.186845,0.9010849
0.8042698,1.183264,0.9091454
0.7940216,1.18073,0.9182091
0.7839775,1.177169,0.9286156
0.7725849,1.175746,0.9399033
0.7612782,1.173119,0.9508438
0.7507458,1.170835,0.9608383
0.7411346,1.1678,0.9702988
0.7306118,1.163498,0.9812012
0.7198296,1.159681,0.992363
0.7096996,1.158424,1.001949
0.6982994,1.155329,1.012344
0.6851845,1.154265,1.023693
0.6708794,1.155149,1.034317
0.6594162,1.153445,1.041504
0.6456947,1.152473,1.0494
0.6336021,1.151758,1.056881
0.6233349,1.148555,1.065037
0.6094837,1.146555,1.075726
0.5994873,1.148952,1.079205
0.5901127,1.142525,1.084946
0.5753746,1.143688,1.096645
0.562788,1.148625,1.101665
0.5533981,1.151928,1.105862
0.5453911,1.152501,1.10894
0.535635,1.152938,1.113792
0.5269928,1.156799,1.118484
0.5186844,1.160937,1.122196
0.5070362,1.171963,1.129169
0.4997215,1.181537,1.130978
