PositionX,PositionY,PositionZ
-0.7806168,1.367196,-0.1192284
-0.7940102,1.368809,-0.1445007
-0.8037453,1.378065,-0.1660919
-0.8104057,1.38306,-0.1846542
-0.8200493,1.385246,-0.2032967
-0.8273735,1.389472,-0.2202911
-0.8378296,1.391481,-0.2386436
-0.8442802,1.392086,-0.253109
-0.8514252,1.390309,-0.268734
-0.86129,1.388957,-0.283783
-0.8669701,1.38835,-0.2969589
-0.8759041,1.390849,-0.3119583
-0.8900414,1.393356,-0.3267746
-0.8986588,1.398986,-0.3362999
-0.9015083,1.401014,-0.3433189
-0.9103737,1.398293,-0.3538857
-0.9223518,1.39739,-0.3655167
-0.9291611,1.39776,-0.3750496
-0.9351463,1.395206,-0.3860817
-0.9435349,1.391504,-0.3987617
-0.9519882,1.388216,-0.4095001
-0.9584312,1.385015,-0.4179192
-0.9658279,1.381161,-0.4262161
-0.9737167,1.379083,-0.4342728
-0.982872,1.377531,-0.441864
-0.9916115,1.376952,-0.4481544
-1.000027,1.377083,-0.4537888
-1.008663,1.37709,-0.4596405
-1.017239,1.377839,-0.4655113
-1.02512,1.377978,-0.4708366
-1.033115,1.37783,-0.4761276
-1.040512,1.377135,-0.4810677
-1.046116,1.37448,-0.4872513
-1.052357,1.37334,-0.4935532
-1.059387,1.372905,-0.5008812
-1.066841,1.373614,-0.5084763
-1.072544,1.374117,-0.5143051
-1.081673,1.374,-0.5209427
-1.091488,1.374826,-0.5280952
-1.09885,1.376152,-0.5319672
-1.11018,1.375702,-0.5382004
-1.125957,1.378392,-0.5479012
-1.134956,1.383936,-0.551033
-1.147339,1.378524,-0.5571747
-1.164181,1.373703,-0.5654984
-1.176804,1.378569,-0.5711517
-1.188259,1.3846,-0.5769348
-1.196507,1.388975,-0.5808487
-1.205875,1.393318,-0.5868607
-1.210342,1.398681,-0.5896111
-1.213242,1.401645,-0.5929222
-1.215599,1.404939,-0.5966911
-1.216148,1.409261,-0.5982475
-1.215092,1.412809,-0.6013336
-1.21159,1.415604,-0.6049614
-1.209858,1.415685,-0.6096535
-1.207722,1.414838,-0.6137428
-1.207722,1.414687,-0.6188316
-1.207279,1.415107,-0.6244907
-1.206764,1.414953,-0.6288128
-1.208515,1.414694,-0.6332893
-1.212128,1.416748,-0.6396618
-1.211044,1.418698,-0.643919
-1.211292,1.417983,-0.6494026
-1.212872,1.417922,-0.6553822
-1.213428,1.418964,-0.6610107
-1.214542,1.418289,-0.6665859
-1.216164,1.417361,-0.6736374
-1.216721,1.416606,-0.6823444
-1.218369,1.416391,-0.6932621
-1.218742,1.415838,-0.7033901
-1.219208,1.413153,-0.7145138
-1.22142,1.410995,-0.7277908
-1.224583,1.412032,-0.7418842
-1.226841,1.415389,-0.7543774
-1.228584,1.416709,-0.7663956
-1.230717,1.415928,-0.7785912
-1.233418,1.412102,-0.7912121
-1.238247,1.41013,-0.8041458
-1.242695,1.40949,-0.8160439
-1.247608,1.409708,-0.828495
-1.249207,1.410316,-0.8379593
-1.254055,1.409308,-0.8517056
-1.257717,1.413091,-0.8637352
-1.261532,1.417082,-0.8761692
-1.262966,1.424296,-0.887022
-1.264538,1.426554,-0.8990479
-1.267033,1.430659,-0.911478
-1.267548,1.433376,-0.9221745
-1.268311,1.434453,-0.9349442
-1.269089,1.434386,-0.947794
-1.269077,1.431481,-0.9605122
-1.269817,1.42544,-0.9732494
-1.271564,1.418499,-0.9870358
-1.273731,1.411932,-0.9996414
-1.275826,1.405561,-1.014372
