PositionX,PositionY,PositionZ
0.2180672,1.352339,0.8446121
0.2205772,1.352736,0.8564453
0.224575,1.353881,0.8739319
0.2274513,1.355584,0.8905106
0.2310371,1.356076,0.907608
0.2348957,1.356166,0.9244156
0.2382774,1.356833,0.9421539
0.2412243,1.355675,0.9546471
0.2461319,1.352161,0.9709625
0.255167,1.349752,0.9907379
0.2618237,1.351166,1.006111
0.2686005,1.349258,1.024216
0.2775402,1.350141,1.039719
0.2877655,1.350267,1.054363
0.3005047,1.351531,1.069668
0.3147335,1.353126,1.08548
0.3277855,1.354757,1.097549
0.3418999,1.348861,1.113319
0.3541985,1.33899,1.12952
0.3687191,1.3283,1.145363
0.3833828,1.318414,1.161232
0.3971519,1.311169,1.175243
0.4112816,1.302979,1.188343
0.4262047,1.293242,1.20126
0.4374828,1.286293,1.212681
0.4485035,1.281145,1.222958
0.4565353,1.278832,1.229931
0.4653835,1.277177,1.236065
0.4723606,1.279804,1.239132
0.4795284,1.282084,1.243004
0.4816837,1.286496,1.242157
0.4802551,1.289412,1.238831
0.4769192,1.293701,1.234348
0.4712467,1.301352,1.225891
0.4679356,1.311042,1.217209
