PositionX,PositionY,PositionZ
-1.265358,1.281781,2.43705
-1.276356,1.274644,2.436474
-1.289059,1.2657,2.436279
-1.308659,1.264391,2.443016
-1.328327,1.266352,2.448833
-1.343994,1.261538,2.451294
-1.353973,1.258031,2.451843
-1.364891,1.256106,2.452419
-1.378181,1.251889,2.449226
-1.386051,1.246608,2.447292
-1.394684,1.24814,2.451302
-1.403183,1.256553,2.456684
-1.411713,1.260647,2.451572
-1.422676,1.253778,2.436378
-1.440392,1.258846,2.427761
-1.454815,1.265066,2.422215
-1.465153,1.268146,2.417633
-1.473843,1.272732,2.411522
-1.48811,1.272067,2.406963
-1.501617,1.271016,2.408161
-1.511917,1.271732,2.411648
-1.525101,1.274509,2.415276
-1.543995,1.273015,2.418034
-1.555275,1.272242,2.418774
-1.56324,1.278901,2.413773
-1.567375,1.267964,2.411949
-1.58313,1.263414,2.418602
-1.595104,1.266519,2.422115
-1.605602,1.265897,2.419716
-1.613342,1.262156,2.417965
-1.621281,1.255951,2.420216
-1.630455,1.255079,2.416546
-1.636612,1.251077,2.413704
-1.638546,1.250277,2.411465
-1.643448,1.248649,2.407574
-1.648567,1.246001,2.399498
-1.652077,1.241157,2.392296
-1.65316,1.232166,2.385761
-1.656605,1.2331,2.385609
-1.657833,1.232697,2.377808
-1.658966,1.232806,2.369076
-1.658928,1.226131,2.35973
-1.657215,1.219154,2.35862
-1.659821,1.221783,2.355579
-1.662727,1.228382,2.353771
-1.664219,1.237694,2.348072
-1.664684,1.241116,2.338833
-1.662155,1.239316,2.325695
-1.661938,1.228982,2.315689
-1.663376,1.244237,2.313862
-1.661346,1.247683,2.2953
-1.658005,1.250963,2.276649
-1.648338,1.243255,2.260754
-1.641594,1.248544,2.25919
-1.63884,1.262554,2.247967
-1.632137,1.267575,2.226154
-1.620632,1.259945,2.203297
-1.609093,1.259345,2.188961
-1.595173,1.261928,2.169704
-1.569332,1.267737,2.144806
-1.563744,1.287572,2.110062
-1.529881,1.290293,2.084774
-1.513748,1.290849,2.065716
-1.496468,1.290507,2.043812
-1.480236,1.283832,2.025906
-1.469692,1.27845,2.016556
-1.455082,1.268148,2.003845
-1.442661,1.262868,1.989346
-1.435406,1.263783,1.979168
-1.434647,1.267217,1.971603
-1.435024,1.26853,1.958946
-1.439407,1.269233,1.946835
-1.449139,1.274956,1.933075
-1.456261,1.27669,1.926037
-1.462814,1.278131,1.920719
-1.468079,1.278444,1.919617
-1.47607,1.283149,1.911476
-1.485474,1.289862,1.901466
-1.500431,1.2981,1.897102
-1.508507,1.30356,1.890762
-1.516403,1.314353,1.882122
-1.527134,1.315033,1.876156
-1.534241,1.31925,1.869503
-1.54361,1.314607,1.862186
-1.562946,1.310909,1.856449
-1.583256,1.315372,1.845505
-1.589706,1.315689,1.841484
-1.596783,1.315825,1.837612
-1.605221,1.325052,1.82333
-1.611897,1.325567,1.817905
-1.614361,1.322421,1.812702
-1.618191,1.32191,1.805676
-1.627422,1.32213,1.798405
-1.641933,1.317899,1.789063
-1.650387,1.317026,1.785664
-1.658916,1.317376,1.781361
-1.665855,1.31872,1.7743
-1.67646,1.317105,1.766117
-1.682323,1.318278,1.756161
-1.694233,1.320546,1.749249
-1.700466,1.324594,1.74157
-1.707764,1.322422,1.732201
-1.712883,1.319394,1.721294
-1.719334,1.318943,1.710064
-1.727142,1.318252,1.687878
-1.729088,1.314587,1.677345
-1.729008,1.311446,1.666405
-1.73016,1.308281,1.659969
-1.732712,1.305773,1.649418
-1.733192,1.305043,1.638687
-1.731697,1.305503,1.629894
-1.730995,1.307556,1.621124
-1.731098,1.309734,1.611866
-1.733139,1.306207,1.602467
-1.7337,1.301044,1.596481
-1.737255,1.297847,1.590218
-1.744888,1.299936,1.579605
-1.746147,1.303408,1.568432
-1.747761,1.307107,1.555313
-1.749401,1.310258,1.543835
-1.752483,1.314379,1.531509
-1.75148,1.317307,1.518021
-1.750397,1.32025,1.506126
-1.748055,1.321536,1.496777
-1.744881,1.319098,1.485981
-1.742908,1.313768,1.475002
-1.740505,1.308844,1.467247
-1.742954,1.30809,1.457203
-1.744583,1.312955,1.441532
-1.746147,1.315073,1.434586
-1.748413,1.316708,1.427971
-1.752659,1.31925,1.419056
-1.757336,1.323119,1.409325
-1.761604,1.323035,1.399708
-1.765289,1.320535,1.388775
-1.772972,1.320027,1.381596
-1.78384,1.319457,1.37077
-1.789463,1.319378,1.364426
-1.795208,1.319407,1.357708
-1.80452,1.31864,1.342712
-1.809124,1.31829,1.33482
-1.81612,1.317923,1.317684
-1.83139,1.322674,1.305965
-1.848827,1.327877,1.29285
-1.855087,1.328038,1.284782
-1.863476,1.328143,1.277512
-1.878731,1.321427,1.274231
-1.886677,1.320336,1.267757
-1.894173,1.318926,1.261711
-1.908791,1.315744,1.254311
-1.923656,1.311634,1.244587
-1.930286,1.309675,1.239422
-1.936729,1.307596,1.233433
-1.941956,1.305739,1.227695
-1.947556,1.303491,1.221596
-1.951736,1.301496,1.21595
-1.955345,1.299543,1.209686
-1.958786,1.297544,1.203953
-1.963596,1.295276,1.199306
-1.969227,1.292436,1.195778
-1.974663,1.290215,1.189861
-1.990707,1.308503,1.147259
-1.994621,1.312244,1.137138
-1.996483,1.316164,1.129501
-1.993008,1.311645,1.121792
-1.994556,1.312281,1.124508
-1.993393,1.313492,1.122055
-1.987328,1.308795,1.114868
-1.985645,1.296442,1.108212
-1.984837,1.292809,1.106155
-1.99004,1.309097,1.101654
-1.9827,1.32379,1.087349
-1.97023,1.316179,1.070427
-1.961838,1.290339,1.059921
-1.955673,1.297839,1.051182
-1.948895,1.30537,1.042568
-1.938625,1.302913,1.043797
-1.931847,1.298759,1.045139
-1.924923,1.296017,1.042622
-1.918606,1.290587,1.03714
-1.916298,1.294147,1.03289
-1.916275,1.308483,1.023232
-1.911266,1.320732,1.012451
-1.901352,1.327763,1.002254
-1.891258,1.318438,0.9821968
-1.891102,1.320715,0.9730339
-1.89233,1.323898,0.963192
-1.89201,1.324189,0.9523087
-1.891689,1.317698,0.9456215
-1.89518,1.310722,0.9379921
-1.905502,1.316723,0.9156265
-1.909176,1.3206,0.9041252
-1.912563,1.324725,0.8917274
-1.910339,1.319852,0.880867
-1.91251,1.312489,0.8660698
-1.916088,1.31046,0.848526
-1.916969,1.318261,0.8373413
-1.915398,1.325298,0.8263855
-1.912163,1.316704,0.8119545
-1.904091,1.311443,0.8028259
-1.912212,1.3169,0.7958069
-1.906113,1.328332,0.7797089
-1.898701,1.328795,0.7670403
-1.895809,1.327556,0.7566414
-1.895641,1.326533,0.7505836
-1.894943,1.321934,0.744175
-1.895554,1.320139,0.7363434
-1.894104,1.32672,0.7189598
-1.891754,1.318792,0.7143059
-1.889629,1.311774,0.7102509
-1.889389,1.308048,0.7010117
-1.887928,1.310856,0.6904564
-1.885738,1.312449,0.6822128
-1.883926,1.306717,0.6812248
-1.879501,1.302226,0.6764412
-1.876366,1.299657,0.6656914
-1.872673,1.300956,0.6563263
-1.870319,1.3036,0.6484184
-1.868904,1.308822,0.6411858
-1.859249,1.312186,0.6300049
-1.854511,1.310022,0.6283302
-1.850445,1.308003,0.6250839
-1.848476,1.308281,0.623394
-1.844624,1.306314,0.6206741
-1.839245,1.308936,0.6175728
-1.834057,1.314295,0.6097107
-1.8237,1.314024,0.599659
-1.815037,1.307016,0.591671
-1.814236,1.302517,0.5847893
-1.812481,1.310036,0.5754662
-1.809685,1.32106,0.5657845
-1.778282,1.310674,0.5559464
-1.770313,1.294634,0.5592232
-1.747093,1.309736,0.5516052
-1.728695,1.301435,0.5527611
-1.712666,1.293769,0.5536919
-1.702213,1.29989,0.5458603
-1.696011,1.321606,0.537468
-1.680683,1.327459,0.5303078
-1.653023,1.325624,0.5369186
-1.637474,1.326148,0.540947
-1.61124,1.325467,0.549881
-1.599636,1.324483,0.5527687
-1.590969,1.323837,0.5546799
-1.58112,1.331826,0.5536423
-1.567871,1.33446,0.5553398
-1.550728,1.333488,0.5579376
-1.526867,1.332077,0.5638504
-1.510773,1.330386,0.5639114
-1.498005,1.330914,0.5635757
-1.487011,1.336168,0.5661087
-1.454666,1.338984,0.5772324
-1.44458,1.334644,0.5840263
-1.436008,1.330492,0.5898132
-1.429504,1.328988,0.5921745
-1.421494,1.329577,0.5908966
-1.413952,1.335835,0.5874863
-1.405605,1.34049,0.5832558
-1.397213,1.346396,0.5807381
-1.393974,1.349195,0.5789604
-1.389526,1.352773,0.5772705
-1.382355,1.353106,0.5740738
-1.373184,1.351967,0.5701599
-1.370235,1.353513,0.564537
-1.367241,1.355348,0.5576019
-1.364323,1.357949,0.5498123
-1.360756,1.358404,0.5426064
-1.358711,1.356702,0.5382576
-1.355888,1.354536,0.5342026
-1.352406,1.356013,0.5306816
-1.347038,1.356652,0.5266037
-1.345913,1.356258,0.5196571
-1.343536,1.357263,0.5149841
-1.342159,1.356714,0.5011711
-1.343185,1.357354,0.4921799
-1.343204,1.357366,0.4853363
-1.336834,1.358307,0.4808273
-1.336723,1.358517,0.4713516
-1.340263,1.357572,0.4581337
-1.342697,1.354557,0.4478111
-1.345154,1.351624,0.4309731
-1.347603,1.350968,0.4207001
-1.347919,1.350501,0.4112434
-1.348633,1.350299,0.401619
-1.354385,1.351956,0.3765869
-1.355938,1.35363,0.3645935
-1.355377,1.355457,0.3543892
-1.346848,1.377531,0.3416061
-1.348442,1.375163,0.3286285
-1.352886,1.371499,0.3153915
-1.358723,1.371998,0.3015213
-1.364143,1.375019,0.2874184
-1.365597,1.376774,0.2753258
-1.368832,1.374243,0.2629967
-1.373173,1.37236,0.2519569
-1.378529,1.373173,0.2384796
-1.385269,1.376191,0.2121696
-1.386444,1.373593,0.2015076
-1.38607,1.370695,0.1923103
-1.390945,1.365181,0.1811142
-1.396164,1.365039,0.1701622
-1.401993,1.366797,0.1590118
-1.403946,1.368752,0.1495438
-1.406136,1.36675,0.1386375
-1.40657,1.364825,0.1283722
-1.413559,1.363262,0.1200409
-1.419128,1.36029,0.1154823
-1.418648,1.352474,0.1034012
-1.415943,1.355311,0.09667587
-1.411987,1.357868,0.08994675
-1.405136,1.356074,0.08711624
-1.398396,1.352539,0.08512878
-1.393661,1.348724,0.07864761
-1.391834,1.360209,0.07104492
-1.382721,1.369143,0.0656662
-1.371117,1.361,0.06465912
-1.364937,1.347056,0.06470871
-1.366997,1.336866,0.05591202
-1.370068,1.359534,0.0423584
-1.34803,1.363933,0.0316391
-1.350643,1.346588,0.02886581
-1.353237,1.327868,0.02652359
-1.35289,1.344005,0.01638031
-1.347942,1.354455,0.007385254
-1.338867,1.357001,0.007110596
-1.33461,1.348027,0.009147644
-1.330044,1.339698,0.006122589
-1.324841,1.337012,0.001773834
-1.320618,1.335779,-0.002098083
-1.316643,1.334497,-0.003311157
-1.308674,1.330246,-0.00775528
-1.298237,1.330299,-0.01552582
-1.287674,1.3297,-0.01808548
-1.276348,1.329367,-0.01971817
-1.266262,1.320981,-0.01932907
-1.259766,1.315907,-0.02248764
-1.256264,1.328793,-0.02828217
-1.242321,1.349626,-0.02883911
-1.221203,1.358768,-0.02922058
-1.205338,1.352482,-0.02764893
-1.195187,1.341405,-0.02442932
-1.189903,1.345991,-0.02945328
-1.164444,1.355157,-0.02368927
-1.16095,1.343188,-0.0158577
-1.15704,1.330606,-0.009616852
-1.150208,1.337853,-0.01108932
-1.142689,1.346074,-0.01167297
-1.134106,1.352404,-0.01298523
-1.122822,1.354932,-0.01125717
-1.116089,1.357629,-0.014534
-1.104546,1.358417,-0.01955795
-1.092621,1.355742,-0.02213669
-1.08746,1.351758,-0.02581024
-1.08123,1.351028,-0.02809525
-1.07225,1.353986,-0.0343895
-1.06749,1.354979,-0.03679276
-1.064228,1.35772,-0.03971481
-1.059967,1.362729,-0.04380417
-1.054703,1.362739,-0.04895401
-1.047607,1.360589,-0.05485153
-1.043743,1.356932,-0.06228256
-1.042564,1.351353,-0.07094193
-1.03772,1.347914,-0.07928085
-1.037586,1.350255,-0.09549332
-1.036095,1.353049,-0.1059265
-1.03413,1.353502,-0.1141014
-1.02747,1.352669,-0.1263008
-1.022167,1.346949,-0.1292152
-1.018764,1.342404,-0.1290665
-1.015667,1.335542,-0.1276474
-1.012711,1.330395,-0.1281929
-1.009209,1.328113,-0.1265259
-1.004723,1.325247,-0.121479
-1.00367,1.320607,-0.1173058
-1.005947,1.321166,-0.1095657
-1.008007,1.324766,-0.1019707
-1.005066,1.324238,-0.09588623
-1.002647,1.324252,-0.08864975
-0.9986649,1.335023,-0.07569885
-1.003281,1.335206,-0.06238556
-1.007637,1.33507,-0.0519104
-1.013802,1.336326,-0.04328918
-1.020531,1.337958,-0.03157425
-1.026981,1.339187,-0.02114868
-1.032555,1.340723,-0.008529663
-1.034271,1.34166,0.005607605
-1.036385,1.346188,0.01786041
-1.036713,1.350552,0.02894211
-1.038025,1.348899,0.04658508
-1.046185,1.350608,0.0765152
-1.045261,1.357565,0.09102631
-1.044254,1.36222,0.1019592
-1.039864,1.358428,0.1186333
-1.039825,1.35797,0.1300926
-1.04248,1.365789,0.1383629
-1.039902,1.370875,0.149025
-1.039116,1.367879,0.1614227
-1.042004,1.365351,0.167942
-1.044971,1.365971,0.1724892
-1.046894,1.368013,0.1745529
-1.048489,1.367782,0.1779556
-1.06472,1.367791,0.182518
-1.071144,1.369158,0.1829071
-1.079708,1.371382,0.1815758
-1.087006,1.371169,0.1766472
-1.096382,1.368067,0.1732521
-1.10593,1.365402,0.1703568
-1.116547,1.362941,0.1661682
-1.125397,1.360735,0.1621323
-1.140419,1.35773,0.1449394
-1.149223,1.352424,0.1355858
-1.163563,1.34728,0.125267
-1.197803,1.344892,0.1091537
-1.208298,1.339153,0.1064415
-1.221207,1.330672,0.1066742
-1.239082,1.318711,0.1049118
-1.256603,1.31603,0.1020432
-1.270893,1.316633,0.09881592
-1.283813,1.320168,0.09719086
-1.291023,1.317918,0.09805679
-1.298206,1.315669,0.1020241
-1.308983,1.314518,0.1024742
-1.313457,1.310345,0.1065941
-1.322929,1.307828,0.1098785
-1.330387,1.303061,0.1135445
-1.336384,1.300898,0.1177711
-1.341885,1.299857,0.1229858
-1.34903,1.299522,0.1290817
-1.347637,1.336809,0.1347427
-1.360783,1.325912,0.1429405
-1.372097,1.322943,0.1484261
-1.379757,1.325662,0.1536407
-1.388702,1.325103,0.1658134
-1.396339,1.321578,0.1761246
-1.401318,1.325673,0.1845589
-1.403591,1.330983,0.1930618
-1.398182,1.334126,0.2031288
-1.394188,1.32316,0.2295303
-1.394482,1.323418,0.2422218
-1.394012,1.32373,0.2556992
-1.388344,1.318798,0.2723846
-1.384041,1.309069,0.2921486
-1.384769,1.307068,0.3036537
-1.387634,1.315462,0.3132324
-1.385338,1.324481,0.3261375
-1.381023,1.324948,0.340519
-1.377686,1.317493,0.3584137
