PositionX,PositionY,PositionZ
0.1107521,1.336417,2.088844
0.1110916,1.336448,2.089077
0.1114483,1.336558,2.08897
0.1122265,1.336411,2.087997
0.1132145,1.335797,2.089058
0.1138706,1.334886,2.08955
0.1143341,1.3344,2.090214
0.1151962,1.333878,2.091042
0.1153679,1.334139,2.092075
0.1150856,1.33439,2.092712
0.114769,1.334114,2.093418
0.1141567,1.334137,2.09449
0.1132221,1.334018,2.095509
0.112299,1.334085,2.096565
0.1115665,1.3345,2.097363
0.11096,1.334319,2.097668
0.1111279,1.333341,2.097946
0.1115494,1.332602,2.097725
0.1113205,1.332421,2.097969
0.112236,1.332119,2.098591
0.1154518,1.331953,2.098759
0.1191769,1.331235,2.097969
0.1234264,1.330305,2.098858
0.1297703,1.328932,2.098732
0.1351929,1.329055,2.097813
0.1389771,1.328554,2.096806
0.1446896,1.326669,2.096489
0.1506653,1.326382,2.094872
0.1562958,1.325811,2.092278
0.1603928,1.32582,2.090458
0.1644554,1.324783,2.089607
0.1745205,1.322842,2.090889
0.1803055,1.322842,2.092175
0.1866741,1.321814,2.093227
0.1919575,1.32102,2.093475
0.1960258,1.319586,2.093597
0.1993275,1.31222,2.095207
0.2032509,1.308253,2.094757
0.2051697,1.306016,2.094391
0.2111282,1.303661,2.095089
0.2219543,1.305836,2.099339
0.2222672,1.303442,2.102818
0.2229729,1.300954,2.105492
0.2294464,1.297125,2.105541
0.2325115,1.296925,2.104362
0.2355042,1.295269,2.102398
0.240057,1.294062,2.101875
0.2462139,1.292369,2.101631
0.249733,1.291597,2.102551
0.2605,1.290705,2.10516
0.2664585,1.290514,2.108105
0.2726784,1.288465,2.11058
0.2775269,1.286267,2.114532
0.285387,1.282963,2.119057
0.2895107,1.283786,2.124275
0.2973213,1.280789,2.129959
0.306469,1.278611,2.134586
0.3141823,1.276098,2.137535
0.3206158,1.274663,2.140362
0.3265266,1.274527,2.142338
0.3313904,1.27371,2.144093
0.3378792,1.271967,2.146679
0.3460159,1.269341,2.149387
0.3519707,1.268996,2.153172
0.3575535,1.268065,2.157017
0.3638458,1.267628,2.160522
0.3709793,1.267935,2.164204
0.3764572,1.269627,2.168854
0.3861179,1.270241,2.1735
0.393589,1.271489,2.177952
0.4018669,1.272564,2.183064
0.4135704,1.272659,2.188671
0.4240589,1.276091,2.194187
0.4320583,1.280334,2.202629
0.4405823,1.283963,2.209137
0.4496269,1.284962,2.215294
0.4593353,1.285834,2.220985
0.4686718,1.288383,2.228489
0.4801617,1.287724,2.235142
0.4890614,1.288504,2.242302
0.4961205,1.287311,2.247795
0.5052757,1.282967,2.252781
0.5103645,1.284427,2.256989
0.5195713,1.285458,2.26218
0.5282345,1.286106,2.266491
0.538271,1.283629,2.269184
0.5480366,1.283003,2.271725
0.5676537,1.283143,2.275841
0.5761147,1.283226,2.276966
0.5839958,1.283702,2.278698
